1  1  [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2  6  [10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10]
3  6  [10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10]
4  1  [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
5  6  [10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10]
6  6  [25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25]
7  6  [19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19]
8  6  [46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46]
9  6  [46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46]
10  6  [34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34]
11  6  [25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25]
12  6  [34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34]
13  6  [19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19]
14  6  [19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19]
15  6  [19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19]
16  6  [19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19]
17  6  [7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7]
18  6  [19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19]
19  6  [25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25]
20  6  [19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19]
21  6  [7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7]
22  6  [34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34]
23  6  [10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10]
24  6  [19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19]
25  6  [7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7]
26  6  [34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34]
27  6  [19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19]
28  6  [46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46]
29  6  [7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7]
30  6  [7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7]
31  2  [31, 58, 31, 58, 31, 58, 31, 58, 31, 58, 31, 58, 31, 58, 31, 58, 31, 58, 31]
32  6  [7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7]
33  6  [34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34]
34  6  [46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46]
35  6  [7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7]
36  6  [7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7]
37  6  [10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10]
38  6  [10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10]
39  6  [34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34]
40  6  [46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46]
41  6  [25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25]
42  6  [7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7]
43  6  [7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7]
44  6  [34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34]
45  6  [46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46]
46  6  [10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10]
47  6  [10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10]
48  6  [46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46]
49  6  [34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34]
50  6  [7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7]
51  6  [34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34]
52  6  [10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10]
53  6  [7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7]
54  6  [46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46]
55  6  [34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34]
56  6  [34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34]
57  6  [7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7]
58  2  [58, 31, 58, 31, 58, 31, 58, 31, 58, 31, 58, 31, 58, 31, 58, 31, 58, 31, 58]
59  6  [34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34]
60  6  [7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7]
61  6  [25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25]
62  6  [7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7]
63  6  [34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34]
64  6  [7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7]
65  6  [34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34]
66  6  [34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34]
67  6  [10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10]
68  6  [10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10]
69  6  [7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7]
70  6  [34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34]
71  6  [7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7]
72  6  [7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7]
73  6  [7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7]
74  6  [7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7]
75  6  [34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34]
76  6  [25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25]
77  6  [34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34]
78  6  [34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34]
79  6  [10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10, 7, 34, 19, 46, 25, 10]
