1,1,0,[1]
2,20,26,[177, 62, 33, 14, 9, 6, 5, 175, 17, 187, 28, 11, 181, 351, 22, 13, 183, 64, 12, 7]
3,20,24,[177, 62, 33, 14, 9, 6, 5, 175, 17, 187, 28, 11, 181, 351, 22, 13, 183, 64, 12, 7]
4,1,0,[4]
5,20,19,[175, 17, 187, 28, 11, 181, 351, 22, 13, 183, 64, 12, 7, 177, 62, 33, 14, 9, 6, 5]
6,20,19,[5, 175, 17, 187, 28, 11, 181, 351, 22, 13, 183, 64, 12, 7, 177, 62, 33, 14, 9, 6]
7,20,19,[177, 62, 33, 14, 9, 6, 5, 175, 17, 187, 28, 11, 181, 351, 22, 13, 183, 64, 12, 7]
8,20,20,[5, 175, 17, 187, 28, 11, 181, 351, 22, 13, 183, 64, 12, 7, 177, 62, 33, 14, 9, 6]
9,20,19,[6, 5, 175, 17, 187, 28, 11, 181, 351, 22, 13, 183, 64, 12, 7, 177, 62, 33, 14, 9]
10,20,20,[177, 62, 33, 14, 9, 6, 5, 175, 17, 187, 28, 11, 181, 351, 22, 13, 183, 64, 12, 7]
11,20,19,[181, 351, 22, 13, 183, 64, 12, 7, 177, 62, 33, 14, 9, 6, 5, 175, 17, 187, 28, 11]
12,20,19,[7, 177, 62, 33, 14, 9, 6, 5, 175, 17, 187, 28, 11, 181, 351, 22, 13, 183, 64, 12]
13,20,19,[183, 64, 12, 7, 177, 62, 33, 14, 9, 6, 5, 175, 17, 187, 28, 11, 181, 351, 22, 13]
14,20,19,[9, 6, 5, 175, 17, 187, 28, 11, 181, 351, 22, 13, 183, 64, 12, 7, 177, 62, 33, 14]
15,20,21,[5, 175, 17, 187, 28, 11, 181, 351, 22, 13, 183, 64, 12, 7, 177, 62, 33, 14, 9, 6]
16,20,21,[5, 175, 17, 187, 28, 11, 181, 351, 22, 13, 183, 64, 12, 7, 177, 62, 33, 14, 9, 6]
17,20,19,[187, 28, 11, 181, 351, 22, 13, 183, 64, 12, 7, 177, 62, 33, 14, 9, 6, 5, 175, 17]
18,20,21,[5, 175, 17, 187, 28, 11, 181, 351, 22, 13, 183, 64, 12, 7, 177, 62, 33, 14, 9, 6]
19,20,23,[5, 175, 17, 187, 28, 11, 181, 351, 22, 13, 183, 64, 12, 7, 177, 62, 33, 14, 9, 6]
