1  1  [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2  8  [6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86]
3  8  [11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27]
4  1  [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
5  8  [5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45]
6  8  [6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86]
7  8  [86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11]
8  8  [9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5]
9  8  [9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5]
10  8  [5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45]
11  8  [11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27]
12  8  [5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45]
13  8  [45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92]
14  8  [27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6]
15  8  [27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6]
16  8  [27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6]
17  8  [11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27]
18  8  [27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6]
19  8  [11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27]
20  8  [27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6]
21  8  [6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86]
22  8  [86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11]
23  8  [86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11]
24  8  [27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6]
25  8  [6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86]
26  8  [92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9]
27  8  [27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6]
28  8  [45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92]
29  8  [11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27]
30  8  [6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86]
31  8  [11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27]
32  8  [6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86]
33  8  [92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9]
34  8  [45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92]
35  8  [6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86]
36  8  [6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86]
37  8  [6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86]
38  8  [9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5]
39  8  [92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9]
40  8  [45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92]
41  8  [6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86]
42  8  [6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86]
43  8  [27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6]
44  8  [92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9]
45  8  [45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92]
46  8  [9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5]
47  8  [11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27]
48  8  [45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92]
49  8  [92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9]
50  8  [6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86]
51  8  [92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9]
52  8  [45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92]
53  8  [86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11]
54  8  [45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92]
55  8  [92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9]
56  8  [86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11]
57  8  [5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45]
58  8  [45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92]
59  8  [11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27]
60  8  [6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86]
61  8  [86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11]
62  8  [11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27]
63  8  [86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11]
64  8  [6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86]
65  8  [92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9]
66  8  [92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9]
67  8  [27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6]
68  8  [9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5, 86, 45, 11, 92, 27, 9, 6, 5]
