1,1,0,[1]
2,15,19,[9, 6, 5, 56, 13, 64, 12, 7, 58, 31, 82, 43, 94, 49, 14]
3,15,19,[9, 6, 5, 56, 13, 64, 12, 7, 58, 31, 82, 43, 94, 49, 14]
4,1,0,[4]
5,15,14,[56, 13, 64, 12, 7, 58, 31, 82, 43, 94, 49, 14, 9, 6, 5]
6,15,14,[5, 56, 13, 64, 12, 7, 58, 31, 82, 43, 94, 49, 14, 9, 6]
7,15,14,[58, 31, 82, 43, 94, 49, 14, 9, 6, 5, 56, 13, 64, 12, 7]
8,15,15,[5, 56, 13, 64, 12, 7, 58, 31, 82, 43, 94, 49, 14, 9, 6]
9,15,14,[6, 5, 56, 13, 64, 12, 7, 58, 31, 82, 43, 94, 49, 14, 9]
10,15,15,[58, 31, 82, 43, 94, 49, 14, 9, 6, 5, 56, 13, 64, 12, 7]
11,15,17,[9, 6, 5, 56, 13, 64, 12, 7, 58, 31, 82, 43, 94, 49, 14]
12,15,14,[7, 58, 31, 82, 43, 94, 49, 14, 9, 6, 5, 56, 13, 64, 12]
13,15,14,[64, 12, 7, 58, 31, 82, 43, 94, 49, 14, 9, 6, 5, 56, 13]
14,15,14,[9, 6, 5, 56, 13, 64, 12, 7, 58, 31, 82, 43, 94, 49, 14]
15,15,16,[5, 56, 13, 64, 12, 7, 58, 31, 82, 43, 94, 49, 14, 9, 6]
16,15,16,[5, 56, 13, 64, 12, 7, 58, 31, 82, 43, 94, 49, 14, 9, 6]
17,15,18,[58, 31, 82, 43, 94, 49, 14, 9, 6, 5, 56, 13, 64, 12, 7]
18,15,16,[5, 56, 13, 64, 12, 7, 58, 31, 82, 43, 94, 49, 14, 9, 6]
19,15,16,[9, 6, 5, 56, 13, 64, 12, 7, 58, 31, 82, 43, 94, 49, 14]
20,15,15,[6, 5, 56, 13, 64, 12, 7, 58, 31, 82, 43, 94, 49, 14, 9]
21,15,16,[58, 31, 82, 43, 94, 49, 14, 9, 6, 5, 56, 13, 64, 12, 7]
22,15,15,[64, 12, 7, 58, 31, 82, 43, 94, 49, 14, 9, 6, 5, 56, 13]
23,15,19,[5, 56, 13, 64, 12, 7, 58, 31, 82, 43, 94, 49, 14, 9, 6]
24,15,15,[6, 5, 56, 13, 64, 12, 7, 58, 31, 82, 43, 94, 49, 14, 9]
25,15,16,[58, 31, 82, 43, 94, 49, 14, 9, 6, 5, 56, 13, 64, 12, 7]
26,15,17,[5, 56, 13, 64, 12, 7, 58, 31, 82, 43, 94, 49, 14, 9, 6]
27,15,15,[6, 5, 56, 13, 64, 12, 7, 58, 31, 82, 43, 94, 49, 14, 9]
28,15,18,[9, 6, 5, 56, 13, 64, 12, 7, 58, 31, 82, 43, 94, 49, 14]
29,15,16,[64, 12, 7, 58, 31, 82, 43, 94, 49, 14, 9, 6, 5, 56, 13]
30,15,16,[58, 31, 82, 43, 94, 49, 14, 9, 6, 5, 56, 13, 64, 12, 7]
31,15,14,[82, 43, 94, 49, 14, 9, 6, 5, 56, 13, 64, 12, 7, 58, 31]
