1,1,0,[1],[0]
2,21,6,[5, 6, 7, 8, 11, 12, 16, 17, 19, 28, 31, 34, 64, 66, 93, 354, 356, 360, 366, 368, 380],[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
3,21,4,[5, 6, 7, 8, 11, 12, 16, 17, 19, 28, 31, 34, 64, 66, 93, 354, 356, 360, 366, 368, 380],[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
4,1,0,[4],[0]
5,21,0,[5, 6, 7, 8, 11, 12, 16, 17, 19, 28, 31, 34, 64, 66, 93, 354, 356, 360, 366, 368, 380],[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
6,21,0,[5, 6, 7, 8, 11, 12, 16, 17, 19, 28, 31, 34, 64, 66, 93, 354, 356, 360, 366, 368, 380],[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
7,21,0,[5, 6, 7, 8, 11, 12, 16, 17, 19, 28, 31, 34, 64, 66, 93, 354, 356, 360, 366, 368, 380],[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
8,21,0,[5, 6, 7, 8, 11, 12, 16, 17, 19, 28, 31, 34, 64, 66, 93, 354, 356, 360, 366, 368, 380],[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
9,21,1,[5, 6, 7, 8, 11, 12, 16, 17, 19, 28, 31, 34, 64, 66, 93, 354, 356, 360, 366, 368, 380],[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
10,21,1,[5, 6, 7, 8, 11, 12, 16, 17, 19, 28, 31, 34, 64, 66, 93, 354, 356, 360, 366, 368, 380],[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
11,21,0,[5, 6, 7, 8, 11, 12, 16, 17, 19, 28, 31, 34, 64, 66, 93, 354, 356, 360, 366, 368, 380],[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
