1,1,0,[1]
2,7,9,[6, 5, 163, 321, 110, 18, 8]
3,7,18,[5, 163, 321, 110, 18, 8, 6]
4,1,0,[4]
5,7,6,[163, 321, 110, 18, 8, 6, 5]
6,7,6,[5, 163, 321, 110, 18, 8, 6]
7,7,14,[5, 163, 321, 110, 18, 8, 6]
8,7,6,[6, 5, 163, 321, 110, 18, 8]
9,7,7,[5, 163, 321, 110, 18, 8, 6]
10,7,15,[5, 163, 321, 110, 18, 8, 6]
11,7,10,[6, 5, 163, 321, 110, 18, 8]
12,7,15,[5, 163, 321, 110, 18, 8, 6]
13,7,18,[5, 163, 321, 110, 18, 8, 6]
14,7,8,[5, 163, 321, 110, 18, 8, 6]
15,7,7,[6, 5, 163, 321, 110, 18, 8]
16,7,7,[6, 5, 163, 321, 110, 18, 8]
17,2,1,[175, 17]
18,7,6,[8, 6, 5, 163, 321, 110, 18]
19,7,12,[5, 163, 321, 110, 18, 8, 6]
20,7,8,[5, 163, 321, 110, 18, 8, 6]
21,7,16,[5, 163, 321, 110, 18, 8, 6]
22,7,19,[5, 163, 321, 110, 18, 8, 6]
23,7,13,[5, 163, 321, 110, 18, 8, 6]
24,7,8,[5, 163, 321, 110, 18, 8, 6]
25,7,16,[5, 163, 321, 110, 18, 8, 6]
26,7,8,[6, 5, 163, 321, 110, 18, 8]
27,7,8,[5, 163, 321, 110, 18, 8, 6]
28,7,11,[6, 5, 163, 321, 110, 18, 8]
29,7,13,[6, 5, 163, 321, 110, 18, 8]
30,7,16,[5, 163, 321, 110, 18, 8, 6]
31,7,9,[6, 5, 163, 321, 110, 18, 8]
32,7,16,[5, 163, 321, 110, 18, 8, 6]
33,7,9,[5, 163, 321, 110, 18, 8, 6]
34,7,13,[5, 163, 321, 110, 18, 8, 6]
35,7,16,[5, 163, 321, 110, 18, 8, 6]
36,7,16,[5, 163, 321, 110, 18, 8, 6]
37,7,18,[5, 163, 321, 110, 18, 8, 6]
38,7,17,[5, 163, 321, 110, 18, 8, 6]
39,7,8,[6, 5, 163, 321, 110, 18, 8]
40,7,11,[6, 5, 163, 321, 110, 18, 8]
41,7,11,[5, 163, 321, 110, 18, 8, 6]
42,7,16,[5, 163, 321, 110, 18, 8, 6]
43,7,11,[5, 163, 321, 110, 18, 8, 6]
44,7,8,[6, 5, 163, 321, 110, 18, 8]
45,7,11,[6, 5, 163, 321, 110, 18, 8]
46,7,17,[5, 163, 321, 110, 18, 8, 6]
47,7,19,[5, 163, 321, 110, 18, 8, 6]
48,7,11,[6, 5, 163, 321, 110, 18, 8]
49,7,9,[5, 163, 321, 110, 18, 8, 6]
50,7,16,[5, 163, 321, 110, 18, 8, 6]
51,7,9,[5, 163, 321, 110, 18, 8, 6]
52,2,2,[175, 17]
53,7,22,[5, 163, 321, 110, 18, 8, 6]
54,7,11,[6, 5, 163, 321, 110, 18, 8]
55,7,8,[6, 5, 163, 321, 110, 18, 8]
56,7,19,[5, 163, 321, 110, 18, 8, 6]
57,7,20,[5, 163, 321, 110, 18, 8, 6]
58,7,10,[6, 5, 163, 321, 110, 18, 8]
59,7,19,[5, 163, 321, 110, 18, 8, 6]
60,7,16,[5, 163, 321, 110, 18, 8, 6]
61,7,16,[5, 163, 321, 110, 18, 8, 6]
62,7,10,[5, 163, 321, 110, 18, 8, 6]
63,7,19,[5, 163, 321, 110, 18, 8, 6]
64,7,16,[5, 163, 321, 110, 18, 8, 6]
65,7,7,[8, 6, 5, 163, 321, 110, 18]
66,7,8,[6, 5, 163, 321, 110, 18, 8]
67,7,9,[6, 5, 163, 321, 110, 18, 8]
68,7,17,[5, 163, 321, 110, 18, 8, 6]
69,7,9,[6, 5, 163, 321, 110, 18, 8]
70,7,9,[5, 163, 321, 110, 18, 8, 6]
71,7,12,[5, 163, 321, 110, 18, 8, 6]
72,7,16,[5, 163, 321, 110, 18, 8, 6]
73,7,18,[5, 163, 321, 110, 18, 8, 6]
74,7,9,[6, 5, 163, 321, 110, 18, 8]
75,7,19,[5, 163, 321, 110, 18, 8, 6]
76,7,14,[5, 163, 321, 110, 18, 8, 6]
