1,1,0,[1]
2,8,17,[264, 20, 9, 6, 5, 258, 48, 11]
3,8,11,[5, 258, 48, 11, 264, 20, 9, 6]
4,1,0,[4]
5,8,7,[258, 48, 11, 264, 20, 9, 6, 5]
6,8,7,[5, 258, 48, 11, 264, 20, 9, 6]
7,8,13,[264, 20, 9, 6, 5, 258, 48, 11]
8,8,8,[5, 258, 48, 11, 264, 20, 9, 6]
9,8,7,[6, 5, 258, 48, 11, 264, 20, 9]
10,8,14,[264, 20, 9, 6, 5, 258, 48, 11]
11,8,7,[264, 20, 9, 6, 5, 258, 48, 11]
12,8,14,[264, 20, 9, 6, 5, 258, 48, 11]
13,8,10,[264, 20, 9, 6, 5, 258, 48, 11]
14,8,8,[6, 5, 258, 48, 11, 264, 20, 9]
15,8,9,[5, 258, 48, 11, 264, 20, 9, 6]
16,8,9,[5, 258, 48, 11, 264, 20, 9, 6]
17,8,11,[5, 258, 48, 11, 264, 20, 9, 6]
18,8,9,[5, 258, 48, 11, 264, 20, 9, 6]
19,8,17,[264, 20, 9, 6, 5, 258, 48, 11]
20,8,7,[9, 6, 5, 258, 48, 11, 264, 20]
21,8,15,[264, 20, 9, 6, 5, 258, 48, 11]
22,8,11,[264, 20, 9, 6, 5, 258, 48, 11]
23,8,17,[264, 20, 9, 6, 5, 258, 48, 11]
24,8,8,[6, 5, 258, 48, 11, 264, 20, 9]
25,8,15,[264, 20, 9, 6, 5, 258, 48, 11]
26,8,10,[5, 258, 48, 11, 264, 20, 9, 6]
27,8,8,[6, 5, 258, 48, 11, 264, 20, 9]
28,8,8,[264, 20, 9, 6, 5, 258, 48, 11]
29,8,14,[5, 258, 48, 11, 264, 20, 9, 6]
30,8,15,[264, 20, 9, 6, 5, 258, 48, 11]
31,8,13,[264, 20, 9, 6, 5, 258, 48, 11]
32,8,15,[264, 20, 9, 6, 5, 258, 48, 11]
33,8,9,[6, 5, 258, 48, 11, 264, 20, 9]
34,8,18,[264, 20, 9, 6, 5, 258, 48, 11]
35,8,15,[264, 20, 9, 6, 5, 258, 48, 11]
36,8,15,[264, 20, 9, 6, 5, 258, 48, 11]
37,8,17,[264, 20, 9, 6, 5, 258, 48, 11]
38,8,16,[264, 20, 9, 6, 5, 258, 48, 11]
39,8,10,[5, 258, 48, 11, 264, 20, 9, 6]
40,8,8,[264, 20, 9, 6, 5, 258, 48, 11]
41,8,19,[264, 20, 9, 6, 5, 258, 48, 11]
42,8,15,[264, 20, 9, 6, 5, 258, 48, 11]
43,2,1,[296, 43]
44,8,10,[5, 258, 48, 11, 264, 20, 9, 6]
45,8,8,[264, 20, 9, 6, 5, 258, 48, 11]
