1,1,0,[1]
2,20,29,[5, 409, 813, 274, 139, 543, 184, 29, 433, 837, 40, 11, 415, 88, 17, 421, 825, 24, 9, 6]
3,20,22,[415, 88, 17, 421, 825, 24, 9, 6, 5, 409, 813, 274, 139, 543, 184, 29, 433, 837, 40, 11]
4,1,0,[4]
5,20,19,[409, 813, 274, 139, 543, 184, 29, 433, 837, 40, 11, 415, 88, 17, 421, 825, 24, 9, 6, 5]
6,20,19,[5, 409, 813, 274, 139, 543, 184, 29, 433, 837, 40, 11, 415, 88, 17, 421, 825, 24, 9, 6]
7,20,24,[5, 409, 813, 274, 139, 543, 184, 29, 433, 837, 40, 11, 415, 88, 17, 421, 825, 24, 9, 6]
8,20,20,[5, 409, 813, 274, 139, 543, 184, 29, 433, 837, 40, 11, 415, 88, 17, 421, 825, 24, 9, 6]
9,20,19,[6, 5, 409, 813, 274, 139, 543, 184, 29, 433, 837, 40, 11, 415, 88, 17, 421, 825, 24, 9]
10,20,25,[5, 409, 813, 274, 139, 543, 184, 29, 433, 837, 40, 11, 415, 88, 17, 421, 825, 24, 9, 6]
11,20,19,[415, 88, 17, 421, 825, 24, 9, 6, 5, 409, 813, 274, 139, 543, 184, 29, 433, 837, 40, 11]
12,20,25,[5, 409, 813, 274, 139, 543, 184, 29, 433, 837, 40, 11, 415, 88, 17, 421, 825, 24, 9, 6]
13,20,30,[6, 5, 409, 813, 274, 139, 543, 184, 29, 433, 837, 40, 11, 415, 88, 17, 421, 825, 24, 9]
14,20,20,[6, 5, 409, 813, 274, 139, 543, 184, 29, 433, 837, 40, 11, 415, 88, 17, 421, 825, 24, 9]
15,20,21,[5, 409, 813, 274, 139, 543, 184, 29, 433, 837, 40, 11, 415, 88, 17, 421, 825, 24, 9, 6]
16,20,21,[5, 409, 813, 274, 139, 543, 184, 29, 433, 837, 40, 11, 415, 88, 17, 421, 825, 24, 9, 6]
17,20,19,[421, 825, 24, 9, 6, 5, 409, 813, 274, 139, 543, 184, 29, 433, 837, 40, 11, 415, 88, 17]
18,20,21,[5, 409, 813, 274, 139, 543, 184, 29, 433, 837, 40, 11, 415, 88, 17, 421, 825, 24, 9, 6]
19,20,26,[6, 5, 409, 813, 274, 139, 543, 184, 29, 433, 837, 40, 11, 415, 88, 17, 421, 825, 24, 9]
