1,1,0,[1]
2,19,24,[212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6, 5, 210, 17, 222, 42, 12, 7]
3,19,22,[212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6, 5, 210, 17, 222, 42, 12, 7]
4,1,0,[4]
5,19,18,[210, 17, 222, 42, 12, 7, 212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6, 5]
6,19,18,[5, 210, 17, 222, 42, 12, 7, 212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6]
7,19,18,[212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6, 5, 210, 17, 222, 42, 12, 7]
8,19,18,[6, 5, 210, 17, 222, 42, 12, 7, 212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8]
9,19,19,[5, 210, 17, 222, 42, 12, 7, 212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6]
10,19,19,[212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6, 5, 210, 17, 222, 42, 12, 7]
11,19,18,[216, 15, 8, 6, 5, 210, 17, 222, 42, 12, 7, 212, 57, 22, 13, 218, 111, 40, 11]
12,19,18,[7, 212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6, 5, 210, 17, 222, 42, 12]
13,19,18,[218, 111, 40, 11, 216, 15, 8, 6, 5, 210, 17, 222, 42, 12, 7, 212, 57, 22, 13]
14,19,20,[5, 210, 17, 222, 42, 12, 7, 212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6]
15,19,18,[8, 6, 5, 210, 17, 222, 42, 12, 7, 212, 57, 22, 13, 218, 111, 40, 11, 216, 15]
16,19,19,[6, 5, 210, 17, 222, 42, 12, 7, 212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8]
17,19,18,[222, 42, 12, 7, 212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6, 5, 210, 17]
18,19,19,[6, 5, 210, 17, 222, 42, 12, 7, 212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8]
19,19,20,[222, 42, 12, 7, 212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6, 5, 210, 17]
20,19,20,[5, 210, 17, 222, 42, 12, 7, 212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6]
21,19,20,[212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6, 5, 210, 17, 222, 42, 12, 7]
22,19,18,[13, 218, 111, 40, 11, 216, 15, 8, 6, 5, 210, 17, 222, 42, 12, 7, 212, 57, 22]
23,19,21,[8, 6, 5, 210, 17, 222, 42, 12, 7, 212, 57, 22, 13, 218, 111, 40, 11, 216, 15]
24,19,20,[5, 210, 17, 222, 42, 12, 7, 212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6]
25,19,20,[212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6, 5, 210, 17, 222, 42, 12, 7]
26,19,19,[8, 6, 5, 210, 17, 222, 42, 12, 7, 212, 57, 22, 13, 218, 111, 40, 11, 216, 15]
27,19,20,[5, 210, 17, 222, 42, 12, 7, 212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6]
28,19,19,[216, 15, 8, 6, 5, 210, 17, 222, 42, 12, 7, 212, 57, 22, 13, 218, 111, 40, 11]
29,19,22,[212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6, 5, 210, 17, 222, 42, 12, 7]
30,19,20,[212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6, 5, 210, 17, 222, 42, 12, 7]
31,19,21,[218, 111, 40, 11, 216, 15, 8, 6, 5, 210, 17, 222, 42, 12, 7, 212, 57, 22, 13]
32,19,20,[212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6, 5, 210, 17, 222, 42, 12, 7]
33,19,21,[5, 210, 17, 222, 42, 12, 7, 212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6]
34,19,21,[222, 42, 12, 7, 212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6, 5, 210, 17]
35,19,19,[7, 212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6, 5, 210, 17, 222, 42, 12]
36,19,20,[212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6, 5, 210, 17, 222, 42, 12, 7]
37,19,22,[5, 210, 17, 222, 42, 12, 7, 212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6]
38,19,21,[212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6, 5, 210, 17, 222, 42, 12, 7]
39,19,20,[6, 5, 210, 17, 222, 42, 12, 7, 212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8]
40,19,18,[11, 216, 15, 8, 6, 5, 210, 17, 222, 42, 12, 7, 212, 57, 22, 13, 218, 111, 40]
41,19,23,[212, 57, 22, 13, 218, 111, 40, 11, 216, 15, 8, 6, 5, 210, 17, 222, 42, 12, 7]
