1,1,0,[1]
2,10,13,[7, 315, 18, 8, 6, 5, 313, 621, 32, 10]
3,10,21,[5, 313, 621, 32, 10, 7, 315, 18, 8, 6]
4,1,0,[4]
5,10,9,[313, 621, 32, 10, 7, 315, 18, 8, 6, 5]
6,10,9,[5, 313, 621, 32, 10, 7, 315, 18, 8, 6]
7,10,9,[315, 18, 8, 6, 5, 313, 621, 32, 10, 7]
8,10,9,[6, 5, 313, 621, 32, 10, 7, 315, 18, 8]
9,10,10,[5, 313, 621, 32, 10, 7, 315, 18, 8, 6]
10,10,9,[7, 315, 18, 8, 6, 5, 313, 621, 32, 10]
11,3,2,[319, 40, 11]
12,10,10,[315, 18, 8, 6, 5, 313, 621, 32, 10, 7]
13,10,12,[8, 6, 5, 313, 621, 32, 10, 7, 315, 18]
14,10,11,[5, 313, 621, 32, 10, 7, 315, 18, 8, 6]
15,10,10,[6, 5, 313, 621, 32, 10, 7, 315, 18, 8]
16,10,10,[6, 5, 313, 621, 32, 10, 7, 315, 18, 8]
17,10,15,[8, 6, 5, 313, 621, 32, 10, 7, 315, 18]
18,10,9,[8, 6, 5, 313, 621, 32, 10, 7, 315, 18]
19,10,13,[6, 5, 313, 621, 32, 10, 7, 315, 18, 8]
20,10,11,[5, 313, 621, 32, 10, 7, 315, 18, 8, 6]
21,10,10,[7, 315, 18, 8, 6, 5, 313, 621, 32, 10]
22,10,13,[8, 6, 5, 313, 621, 32, 10, 7, 315, 18]
23,10,13,[8, 6, 5, 313, 621, 32, 10, 7, 315, 18]
24,10,11,[5, 313, 621, 32, 10, 7, 315, 18, 8, 6]
25,10,10,[7, 315, 18, 8, 6, 5, 313, 621, 32, 10]
26,10,11,[6, 5, 313, 621, 32, 10, 7, 315, 18, 8]
27,10,11,[5, 313, 621, 32, 10, 7, 315, 18, 8, 6]
28,3,3,[319, 40, 11]
29,10,15,[5, 313, 621, 32, 10, 7, 315, 18, 8, 6]
30,10,10,[7, 315, 18, 8, 6, 5, 313, 621, 32, 10]
31,10,15,[5, 313, 621, 32, 10, 7, 315, 18, 8, 6]
32,10,9,[10, 7, 315, 18, 8, 6, 5, 313, 621, 32]
33,10,12,[5, 313, 621, 32, 10, 7, 315, 18, 8, 6]
34,10,14,[6, 5, 313, 621, 32, 10, 7, 315, 18, 8]
35,10,11,[315, 18, 8, 6, 5, 313, 621, 32, 10, 7]
36,10,10,[7, 315, 18, 8, 6, 5, 313, 621, 32, 10]
37,10,17,[5, 313, 621, 32, 10, 7, 315, 18, 8, 6]
38,10,11,[7, 315, 18, 8, 6, 5, 313, 621, 32, 10]
39,10,11,[6, 5, 313, 621, 32, 10, 7, 315, 18, 8]
40,3,2,[11, 319, 40]
41,10,17,[5, 313, 621, 32, 10, 7, 315, 18, 8, 6]
42,10,11,[315, 18, 8, 6, 5, 313, 621, 32, 10, 7]
43,10,15,[8, 6, 5, 313, 621, 32, 10, 7, 315, 18]
44,10,11,[6, 5, 313, 621, 32, 10, 7, 315, 18, 8]
45,3,3,[319, 40, 11]
