1,1,0,[1]
2,4,10,[7, 38, 21, 10]
3,4,8,[38, 21, 10, 7]
4,1,0,[4]
5,4,5,[7, 38, 21, 10]
6,4,6,[7, 38, 21, 10]
7,4,3,[38, 21, 10, 7]
8,4,7,[7, 38, 21, 10]
9,4,7,[7, 38, 21, 10]
10,4,3,[7, 38, 21, 10]
11,4,6,[38, 21, 10, 7]
12,4,4,[38, 21, 10, 7]
13,4,10,[7, 38, 21, 10]
14,4,8,[7, 38, 21, 10]
15,4,8,[7, 38, 21, 10]
16,4,8,[7, 38, 21, 10]
17,4,8,[38, 21, 10, 7]
18,4,8,[7, 38, 21, 10]
19,4,6,[38, 21, 10, 7]
20,4,8,[7, 38, 21, 10]
21,4,3,[10, 7, 38, 21]
22,4,11,[7, 38, 21, 10]
23,4,8,[38, 21, 10, 7]
24,4,8,[7, 38, 21, 10]
25,4,4,[7, 38, 21, 10]
26,4,9,[7, 38, 21, 10]
27,4,8,[7, 38, 21, 10]
28,4,7,[38, 21, 10, 7]
29,4,6,[38, 21, 10, 7]
30,4,4,[7, 38, 21, 10]
31,4,11,[7, 38, 21, 10]
32,4,4,[7, 38, 21, 10]
33,4,9,[7, 38, 21, 10]
34,4,7,[38, 21, 10, 7]
35,4,5,[38, 21, 10, 7]
36,4,4,[7, 38, 21, 10]
37,4,5,[10, 7, 38, 21]
38,4,3,[21, 10, 7, 38]
39,4,9,[7, 38, 21, 10]
40,4,7,[38, 21, 10, 7]
41,4,6,[38, 21, 10, 7]
42,4,5,[38, 21, 10, 7]
43,4,11,[7, 38, 21, 10]
44,4,9,[7, 38, 21, 10]
45,4,7,[38, 21, 10, 7]
46,4,5,[7, 38, 21, 10]
47,4,10,[7, 38, 21, 10]
48,4,7,[38, 21, 10, 7]
49,4,9,[7, 38, 21, 10]
50,4,5,[38, 21, 10, 7]
51,4,9,[7, 38, 21, 10]
52,4,9,[38, 21, 10, 7]
53,4,10,[7, 38, 21, 10]
54,4,7,[38, 21, 10, 7]
55,4,9,[7, 38, 21, 10]
56,4,11,[7, 38, 21, 10]
57,4,12,[7, 38, 21, 10]
58,4,12,[7, 38, 21, 10]
59,4,12,[7, 38, 21, 10]
60,4,5,[38, 21, 10, 7]
61,4,10,[7, 38, 21, 10]
62,4,10,[7, 38, 21, 10]
63,4,11,[7, 38, 21, 10]
64,4,5,[38, 21, 10, 7]
65,4,9,[7, 38, 21, 10]
66,4,9,[7, 38, 21, 10]
67,4,10,[7, 38, 21, 10]
68,4,4,[10, 7, 38, 21]
69,4,10,[7, 38, 21, 10]
70,4,9,[7, 38, 21, 10]
71,4,13,[7, 38, 21, 10]
72,4,5,[38, 21, 10, 7]
73,4,8,[38, 21, 10, 7]
74,4,10,[7, 38, 21, 10]
75,4,11,[7, 38, 21, 10]
76,4,9,[38, 21, 10, 7]
77,4,9,[7, 38, 21, 10]
78,4,9,[7, 38, 21, 10]
79,4,10,[7, 38, 21, 10]
80,4,11,[7, 38, 21, 10]
81,4,5,[38, 21, 10, 7]
82,4,12,[7, 38, 21, 10]
83,4,10,[7, 38, 21, 10]
84,4,9,[7, 38, 21, 10]
85,4,12,[7, 38, 21, 10]
86,4,8,[38, 21, 10, 7]
87,4,5,[7, 38, 21, 10]
88,4,9,[38, 21, 10, 7]
89,4,10,[7, 38, 21, 10]
90,4,11,[7, 38, 21, 10]
91,4,9,[7, 38, 21, 10]
92,4,9,[7, 38, 21, 10]
93,4,8,[38, 21, 10, 7]
94,4,10,[7, 38, 21, 10]
95,4,9,[7, 38, 21, 10]
96,4,11,[7, 38, 21, 10]
97,4,10,[7, 38, 21, 10]
98,4,9,[7, 38, 21, 10]
99,4,9,[38, 21, 10, 7]
100,4,9,[7, 38, 21, 10]
101,4,10,[7, 38, 21, 10]
102,4,12,[7, 38, 21, 10]
103,4,12,[7, 38, 21, 10]
104,4,7,[38, 21, 10, 7]
105,4,9,[7, 38, 21, 10]
106,4,10,[7, 38, 21, 10]
107,4,9,[38, 21, 10, 7]
108,4,11,[7, 38, 21, 10]
109,4,10,[7, 38, 21, 10]
110,4,9,[7, 38, 21, 10]
111,4,8,[38, 21, 10, 7]
112,4,9,[7, 38, 21, 10]
113,4,10,[7, 38, 21, 10]
114,4,9,[7, 38, 21, 10]
115,4,8,[38, 21, 10, 7]
116,4,10,[7, 38, 21, 10]
117,4,7,[38, 21, 10, 7]
118,4,11,[7, 38, 21, 10]
119,4,9,[7, 38, 21, 10]
120,4,9,[7, 38, 21, 10]
121,4,12,[7, 38, 21, 10]
122,4,12,[7, 38, 21, 10]
123,4,10,[7, 38, 21, 10]
124,4,6,[38, 21, 10, 7]
125,4,9,[7, 38, 21, 10]
126,4,9,[7, 38, 21, 10]
127,4,7,[38, 21, 10, 7]
128,4,9,[7, 38, 21, 10]
129,4,6,[7, 38, 21, 10]
130,4,9,[7, 38, 21, 10]
131,4,10,[7, 38, 21, 10]
132,4,9,[7, 38, 21, 10]
133,4,10,[7, 38, 21, 10]
134,4,11,[7, 38, 21, 10]
135,4,9,[7, 38, 21, 10]
136,4,9,[38, 21, 10, 7]
137,4,10,[7, 38, 21, 10]
138,4,8,[38, 21, 10, 7]
139,4,10,[7, 38, 21, 10]
140,4,9,[7, 38, 21, 10]
141,4,6,[38, 21, 10, 7]
142,4,9,[38, 21, 10, 7]
143,4,9,[7, 38, 21, 10]
144,4,9,[7, 38, 21, 10]
145,4,8,[38, 21, 10, 7]
146,4,12,[7, 38, 21, 10]
147,4,9,[38, 21, 10, 7]
148,4,7,[38, 21, 10, 7]
149,4,10,[7, 38, 21, 10]
150,4,9,[7, 38, 21, 10]
151,4,13,[7, 38, 21, 10]
152,4,5,[7, 38, 21, 10]
153,4,9,[38, 21, 10, 7]
154,4,9,[7, 38, 21, 10]
155,4,5,[7, 38, 21, 10]
156,4,9,[7, 38, 21, 10]
157,4,11,[7, 38, 21, 10]
158,4,6,[38, 21, 10, 7]
159,4,12,[7, 38, 21, 10]
160,4,9,[7, 38, 21, 10]
161,4,5,[7, 38, 21, 10]
162,4,9,[7, 38, 21, 10]
163,4,11,[38, 21, 10, 7]
164,4,8,[38, 21, 10, 7]
165,4,7,[38, 21, 10, 7]
166,4,13,[7, 38, 21, 10]
167,4,8,[38, 21, 10, 7]
168,4,9,[7, 38, 21, 10]
169,4,10,[7, 38, 21, 10]
170,4,9,[7, 38, 21, 10]
171,4,5,[7, 38, 21, 10]
172,4,11,[7, 38, 21, 10]
173,4,10,[7, 38, 21, 10]
174,4,8,[38, 21, 10, 7]
175,4,9,[38, 21, 10, 7]
176,4,7,[38, 21, 10, 7]
177,4,11,[7, 38, 21, 10]
178,4,10,[7, 38, 21, 10]
179,4,10,[38, 21, 10, 7]
180,4,9,[7, 38, 21, 10]
181,4,14,[7, 38, 21, 10]
182,4,12,[7, 38, 21, 10]
183,4,6,[38, 21, 10, 7]
184,4,7,[38, 21, 10, 7]
185,4,6,[38, 21, 10, 7]
186,4,5,[7, 38, 21, 10]
187,4,8,[38, 21, 10, 7]
188,4,10,[7, 38, 21, 10]
189,4,9,[7, 38, 21, 10]
190,4,10,[7, 38, 21, 10]
191,4,7,[38, 21, 10, 7]
192,4,9,[7, 38, 21, 10]
193,4,10,[38, 21, 10, 7]
194,4,10,[38, 21, 10, 7]
195,4,4,[10, 7, 38, 21]
196,4,9,[7, 38, 21, 10]
197,4,11,[7, 38, 21, 10]
198,4,7,[38, 21, 10, 7]
199,4,6,[7, 38, 21, 10]
200,4,9,[7, 38, 21, 10]
