1  1  [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2  5  [9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49]
3  5  [49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6]
4  1  [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
5  5  [14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5]
6  5  [49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6]
7  5  [14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5]
8  5  [5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9]
9  5  [5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9]
10  5  [49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6]
11  5  [14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5]
12  5  [49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6]
13  3  [22, 13, 57, 22, 13, 57, 22, 13, 57, 22, 13, 57, 22, 13, 57, 22, 13, 57, 22]
14  5  [6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14]
15  5  [6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14]
16  5  [6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14]
17  5  [49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6]
18  5  [6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14]
19  3  [13, 57, 22, 13, 57, 22, 13, 57, 22, 13, 57, 22, 13, 57, 22, 13, 57, 22, 13]
20  5  [6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14]
21  5  [5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9]
22  3  [57, 22, 13, 57, 22, 13, 57, 22, 13, 57, 22, 13, 57, 22, 13, 57, 22, 13, 57]
23  5  [9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49]
24  5  [6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14]
25  5  [5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9]
26  5  [9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49]
27  5  [6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14]
28  5  [49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6]
29  3  [13, 57, 22, 13, 57, 22, 13, 57, 22, 13, 57, 22, 13, 57, 22, 13, 57, 22, 13]
30  5  [5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9]
31  3  [13, 57, 22, 13, 57, 22, 13, 57, 22, 13, 57, 22, 13, 57, 22, 13, 57, 22, 13]
32  5  [5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9]
33  5  [9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49]
34  3  [22, 13, 57, 22, 13, 57, 22, 13, 57, 22, 13, 57, 22, 13, 57, 22, 13, 57, 22]
35  5  [5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9]
36  5  [5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9]
37  5  [6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14]
38  5  [6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14]
39  5  [9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49]
40  5  [49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6]
41  3  [22, 13, 57, 22, 13, 57, 22, 13, 57, 22, 13, 57, 22, 13, 57, 22, 13, 57, 22]
42  5  [5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9]
43  5  [9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49]
44  5  [9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49]
45  5  [49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6]
46  5  [6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14]
47  5  [14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5]
48  5  [49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6, 5, 49, 14, 9, 6]
