1  1  [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2  9  [6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6]
3  9  [15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15]
4  1  [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
5  9  [160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160]
6  9  [61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61]
7  9  [6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6]
8  9  [118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118]
9  9  [118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118]
10  9  [8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8]
11  9  [5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5]
12  9  [8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8]
13  9  [5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5]
14  9  [19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19]
15  9  [19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19]
16  9  [19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19]
17  9  [6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6]
18  9  [19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19]
19  9  [8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8]
20  9  [19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19]
21  9  [15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15]
22  9  [6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6]
23  9  [15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15]
24  9  [19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19]
25  9  [15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15]
26  9  [104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104]
27  9  [19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19]
28  9  [6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6]
29  9  [5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5]
30  9  [15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15]
31  9  [5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5]
32  9  [15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15]
33  9  [104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104]
34  9  [15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15]
35  9  [15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15]
36  9  [15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15]
37  9  [61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61]
38  9  [160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160]
39  9  [104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104]
40  9  [6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6]
41  9  [5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5]
42  9  [15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15]
43  9  [19, 118, 61, 160, 15, 8, 6, 5, 104, 19, 118, 61, 160, 15, 8, 6, 5, 104, 19]
