1,1,0,[1]
2,25,26,[373, 699, 236, 63, 13, 339, 116, 33, 14, 9, 6, 5, 331, 657, 79, 405, 17, 343, 21, 10, 7, 333, 43, 369, 47]
3,25,30,[14, 9, 6, 5, 331, 657, 79, 405, 17, 343, 21, 10, 7, 333, 43, 369, 47, 373, 699, 236, 63, 13, 339, 116, 33]
4,1,0,[4]
5,25,24,[331, 657, 79, 405, 17, 343, 21, 10, 7, 333, 43, 369, 47, 373, 699, 236, 63, 13, 339, 116, 33, 14, 9, 6, 5]
6,25,24,[5, 331, 657, 79, 405, 17, 343, 21, 10, 7, 333, 43, 369, 47, 373, 699, 236, 63, 13, 339, 116, 33, 14, 9, 6]
7,25,24,[333, 43, 369, 47, 373, 699, 236, 63, 13, 339, 116, 33, 14, 9, 6, 5, 331, 657, 79, 405, 17, 343, 21, 10, 7]
8,25,25,[5, 331, 657, 79, 405, 17, 343, 21, 10, 7, 333, 43, 369, 47, 373, 699, 236, 63, 13, 339, 116, 33, 14, 9, 6]
9,25,24,[6, 5, 331, 657, 79, 405, 17, 343, 21, 10, 7, 333, 43, 369, 47, 373, 699, 236, 63, 13, 339, 116, 33, 14, 9]
10,25,24,[7, 333, 43, 369, 47, 373, 699, 236, 63, 13, 339, 116, 33, 14, 9, 6, 5, 331, 657, 79, 405, 17, 343, 21, 10]
11,25,27,[14, 9, 6, 5, 331, 657, 79, 405, 17, 343, 21, 10, 7, 333, 43, 369, 47, 373, 699, 236, 63, 13, 339, 116, 33]
12,25,25,[333, 43, 369, 47, 373, 699, 236, 63, 13, 339, 116, 33, 14, 9, 6, 5, 331, 657, 79, 405, 17, 343, 21, 10, 7]
13,25,24,[339, 116, 33, 14, 9, 6, 5, 331, 657, 79, 405, 17, 343, 21, 10, 7, 333, 43, 369, 47, 373, 699, 236, 63, 13]
14,25,24,[9, 6, 5, 331, 657, 79, 405, 17, 343, 21, 10, 7, 333, 43, 369, 47, 373, 699, 236, 63, 13, 339, 116, 33, 14]
15,25,26,[5, 331, 657, 79, 405, 17, 343, 21, 10, 7, 333, 43, 369, 47, 373, 699, 236, 63, 13, 339, 116, 33, 14, 9, 6]
16,25,26,[5, 331, 657, 79, 405, 17, 343, 21, 10, 7, 333, 43, 369, 47, 373, 699, 236, 63, 13, 339, 116, 33, 14, 9, 6]
17,25,24,[343, 21, 10, 7, 333, 43, 369, 47, 373, 699, 236, 63, 13, 339, 116, 33, 14, 9, 6, 5, 331, 657, 79, 405, 17]
18,25,26,[5, 331, 657, 79, 405, 17, 343, 21, 10, 7, 333, 43, 369, 47, 373, 699, 236, 63, 13, 339, 116, 33, 14, 9, 6]
