1,1,0,[1]
2,12,13,[239, 461, 683, 905, 186, 36, 10, 7, 229, 451, 52, 17]
3,12,22,[229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10, 7]
4,1,0,[4]
5,12,17,[229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10, 7]
6,12,18,[229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10, 7]
7,12,11,[229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10, 7]
8,12,19,[229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10, 7]
9,12,19,[229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10, 7]
10,12,11,[7, 229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10]
11,12,15,[7, 229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10]
12,12,12,[229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10, 7]
13,12,13,[17, 239, 461, 683, 905, 186, 36, 10, 7, 229, 451, 52]
14,12,20,[229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10, 7]
15,12,20,[229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10, 7]
16,12,20,[229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10, 7]
17,12,11,[239, 461, 683, 905, 186, 36, 10, 7, 229, 451, 52, 17]
18,12,20,[229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10, 7]
19,12,20,[229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10, 7]
20,12,20,[229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10, 7]
21,12,12,[7, 229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10]
22,12,14,[17, 239, 461, 683, 905, 186, 36, 10, 7, 229, 451, 52]
23,12,22,[229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10, 7]
24,12,20,[229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10, 7]
25,12,12,[7, 229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10]
26,12,21,[229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10, 7]
27,12,20,[229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10, 7]
28,12,16,[7, 229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10]
29,12,19,[7, 229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10]
30,12,12,[7, 229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10]
31,12,23,[229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10, 7]
32,12,12,[7, 229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10]
33,12,21,[229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10, 7]
34,12,21,[229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10, 7]
35,12,13,[229, 451, 52, 17, 239, 461, 683, 905, 186, 36, 10, 7]
