1,1,0,[1]
2,5,6,[182, 22, 13, 176, 19]
3,5,7,[13, 176, 19, 182, 22]
4,1,0,[4]
5,5,4,[168, 16, 8, 6, 5]
6,5,4,[5, 168, 16, 8, 6]
7,5,8,[5, 168, 16, 8, 6]
8,5,4,[6, 5, 168, 16, 8]
9,5,5,[5, 168, 16, 8, 6]
10,5,9,[5, 168, 16, 8, 6]
11,5,7,[182, 22, 13, 176, 19]
12,5,9,[5, 168, 16, 8, 6]
13,5,4,[176, 19, 182, 22, 13]
14,5,6,[5, 168, 16, 8, 6]
15,5,5,[6, 5, 168, 16, 8]
16,5,4,[8, 6, 5, 168, 16]
17,5,7,[6, 5, 168, 16, 8]
18,5,5,[6, 5, 168, 16, 8]
19,5,4,[182, 22, 13, 176, 19]
20,5,6,[5, 168, 16, 8, 6]
21,5,10,[5, 168, 16, 8, 6]
22,5,4,[13, 176, 19, 182, 22]
23,5,12,[5, 168, 16, 8, 6]
24,5,6,[5, 168, 16, 8, 6]
25,5,10,[5, 168, 16, 8, 6]
26,5,6,[6, 5, 168, 16, 8]
27,5,6,[5, 168, 16, 8, 6]
28,5,8,[182, 22, 13, 176, 19]
29,5,7,[6, 5, 168, 16, 8]
30,5,10,[5, 168, 16, 8, 6]
31,5,10,[6, 5, 168, 16, 8]
32,5,10,[5, 168, 16, 8, 6]
33,5,7,[5, 168, 16, 8, 6]
34,5,5,[182, 22, 13, 176, 19]
35,5,10,[5, 168, 16, 8, 6]
36,5,10,[5, 168, 16, 8, 6]
37,5,6,[8, 6, 5, 168, 16]
38,5,11,[5, 168, 16, 8, 6]
39,5,5,[8, 6, 5, 168, 16]
40,5,8,[182, 22, 13, 176, 19]
41,5,8,[5, 168, 16, 8, 6]
42,5,10,[5, 168, 16, 8, 6]
43,5,8,[6, 5, 168, 16, 8]
44,5,6,[6, 5, 168, 16, 8]
45,5,8,[182, 22, 13, 176, 19]
46,5,11,[5, 168, 16, 8, 6]
47,5,9,[6, 5, 168, 16, 8]
48,5,8,[182, 22, 13, 176, 19]
49,5,7,[5, 168, 16, 8, 6]
50,5,10,[5, 168, 16, 8, 6]
51,5,7,[5, 168, 16, 8, 6]
52,5,8,[6, 5, 168, 16, 8]
53,5,7,[6, 5, 168, 16, 8]
54,5,8,[182, 22, 13, 176, 19]
55,5,5,[8, 6, 5, 168, 16]
56,5,5,[176, 19, 182, 22, 13]
57,5,5,[13, 176, 19, 182, 22]
58,5,11,[6, 5, 168, 16, 8]
59,5,12,[5, 168, 16, 8, 6]
60,5,10,[5, 168, 16, 8, 6]
61,5,9,[6, 5, 168, 16, 8]
62,5,8,[5, 168, 16, 8, 6]
63,5,5,[176, 19, 182, 22, 13]
64,5,10,[5, 168, 16, 8, 6]
65,5,6,[6, 5, 168, 16, 8]
66,5,5,[8, 6, 5, 168, 16]
67,5,12,[5, 168, 16, 8, 6]
68,5,11,[5, 168, 16, 8, 6]
69,5,7,[6, 5, 168, 16, 8]
70,5,7,[5, 168, 16, 8, 6]
71,5,12,[5, 168, 16, 8, 6]
72,5,10,[5, 168, 16, 8, 6]
73,5,7,[176, 19, 182, 22, 13]
74,5,6,[8, 6, 5, 168, 16]
75,5,5,[176, 19, 182, 22, 13]
76,5,13,[5, 168, 16, 8, 6]
77,5,6,[6, 5, 168, 16, 8]
78,5,6,[6, 5, 168, 16, 8]
79,5,8,[5, 168, 16, 8, 6]
80,5,5,[176, 19, 182, 22, 13]
81,5,10,[5, 168, 16, 8, 6]
82,5,9,[6, 5, 168, 16, 8]
83,5,13,[5, 168, 16, 8, 6]
84,5,7,[5, 168, 16, 8, 6]
85,5,5,[13, 176, 19, 182, 22]
86,5,9,[182, 22, 13, 176, 19]
87,5,11,[5, 168, 16, 8, 6]
88,5,8,[6, 5, 168, 16, 8]
89,5,9,[6, 5, 168, 16, 8]
90,5,5,[176, 19, 182, 22, 13]
91,5,7,[5, 168, 16, 8, 6]
92,5,7,[5, 168, 16, 8, 6]
93,5,6,[182, 22, 13, 176, 19]
94,5,8,[5, 168, 16, 8, 6]
95,5,7,[5, 168, 16, 8, 6]
96,5,5,[176, 19, 182, 22, 13]
97,5,6,[13, 176, 19, 182, 22]
98,5,5,[8, 6, 5, 168, 16]
99,5,8,[6, 5, 168, 16, 8]
