1  1  [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2  5  [100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6]
3  5  [14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5]
4  1  [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
5  5  [14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5]
6  5  [100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6]
7  2  [108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108]
8  5  [5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9]
9  5  [5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9]
10  2  [13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13]
11  5  [100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6]
12  2  [13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13]
13  2  [13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13]
14  5  [6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14]
15  5  [6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14]
16  5  [6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14]
17  5  [14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5]
18  5  [6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14]
19  5  [14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5]
20  5  [6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14]
21  2  [108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108]
22  2  [108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108]
23  5  [5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9]
24  5  [6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14]
25  2  [108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108]
26  5  [9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100]
27  5  [6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14]
28  5  [5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9]
29  2  [108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108]
30  2  [108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108]
31  5  [14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5]
32  2  [108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108]
33  5  [9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100]
34  5  [100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6]
35  2  [108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108]
36  2  [108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108]
37  5  [14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5]
38  2  [13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13]
39  5  [9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100]
40  5  [5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9]
41  5  [9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100]
42  2  [108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108]
43  5  [9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100]
44  5  [9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100]
45  5  [5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9]
46  2  [13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13]
47  5  [5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9]
48  5  [5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9]
49  5  [9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100]
50  2  [108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108]
51  5  [9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100]
52  5  [100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6]
53  5  [100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6]
54  5  [5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9]
55  5  [9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100]
56  2  [108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108]
57  2  [13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13, 108, 13]
58  5  [100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6]
59  5  [14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5, 100, 14, 9, 6, 5]
