1,1,0,[1]
2,13,19,[5, 93, 34, 19, 107, 195, 21, 10, 7, 95, 24, 9, 6]
3,13,15,[6, 5, 93, 34, 19, 107, 195, 21, 10, 7, 95, 24, 9]
4,1,0,[4]
5,13,12,[93, 34, 19, 107, 195, 21, 10, 7, 95, 24, 9, 6, 5]
6,13,12,[5, 93, 34, 19, 107, 195, 21, 10, 7, 95, 24, 9, 6]
7,13,12,[95, 24, 9, 6, 5, 93, 34, 19, 107, 195, 21, 10, 7]
8,13,13,[5, 93, 34, 19, 107, 195, 21, 10, 7, 95, 24, 9, 6]
9,13,12,[6, 5, 93, 34, 19, 107, 195, 21, 10, 7, 95, 24, 9]
10,13,12,[7, 95, 24, 9, 6, 5, 93, 34, 19, 107, 195, 21, 10]
11,13,18,[5, 93, 34, 19, 107, 195, 21, 10, 7, 95, 24, 9, 6]
12,13,13,[95, 24, 9, 6, 5, 93, 34, 19, 107, 195, 21, 10, 7]
13,13,17,[5, 93, 34, 19, 107, 195, 21, 10, 7, 95, 24, 9, 6]
14,13,13,[6, 5, 93, 34, 19, 107, 195, 21, 10, 7, 95, 24, 9]
15,13,14,[5, 93, 34, 19, 107, 195, 21, 10, 7, 95, 24, 9, 6]
16,13,14,[5, 93, 34, 19, 107, 195, 21, 10, 7, 95, 24, 9, 6]
17,13,16,[5, 93, 34, 19, 107, 195, 21, 10, 7, 95, 24, 9, 6]
18,13,14,[5, 93, 34, 19, 107, 195, 21, 10, 7, 95, 24, 9, 6]
19,13,12,[107, 195, 21, 10, 7, 95, 24, 9, 6, 5, 93, 34, 19]
20,13,13,[6, 5, 93, 34, 19, 107, 195, 21, 10, 7, 95, 24, 9]
21,13,12,[10, 7, 95, 24, 9, 6, 5, 93, 34, 19, 107, 195, 21]
22,13,18,[5, 93, 34, 19, 107, 195, 21, 10, 7, 95, 24, 9, 6]
23,13,21,[5, 93, 34, 19, 107, 195, 21, 10, 7, 95, 24, 9, 6]
24,13,12,[9, 6, 5, 93, 34, 19, 107, 195, 21, 10, 7, 95, 24]
25,13,13,[7, 95, 24, 9, 6, 5, 93, 34, 19, 107, 195, 21, 10]
26,13,15,[5, 93, 34, 19, 107, 195, 21, 10, 7, 95, 24, 9, 6]
27,13,13,[6, 5, 93, 34, 19, 107, 195, 21, 10, 7, 95, 24, 9]
28,13,19,[5, 93, 34, 19, 107, 195, 21, 10, 7, 95, 24, 9, 6]
29,13,14,[107, 195, 21, 10, 7, 95, 24, 9, 6, 5, 93, 34, 19]
30,13,13,[7, 95, 24, 9, 6, 5, 93, 34, 19, 107, 195, 21, 10]
31,13,14,[9, 6, 5, 93, 34, 19, 107, 195, 21, 10, 7, 95, 24]
32,13,13,[7, 95, 24, 9, 6, 5, 93, 34, 19, 107, 195, 21, 10]
33,13,14,[6, 5, 93, 34, 19, 107, 195, 21, 10, 7, 95, 24, 9]
34,13,12,[19, 107, 195, 21, 10, 7, 95, 24, 9, 6, 5, 93, 34]
35,13,14,[95, 24, 9, 6, 5, 93, 34, 19, 107, 195, 21, 10, 7]
