1  1  [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2  7  [6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84]
3  7  [14, 9, 6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9, 6, 5, 58]
4  1  [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
5  7  [14, 9, 6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9, 6, 5, 58]
6  7  [84, 14, 9, 6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9, 6, 5]
7  3  [12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12]
8  7  [31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9, 6]
9  7  [31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9, 6]
10  3  [60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60]
11  3  [12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12]
12  3  [60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60]
13  7  [6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84]
14  7  [58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9]
15  7  [58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9]
16  7  [58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9]
17  7  [6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84]
18  7  [58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9]
19  3  [12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12]
20  7  [58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9]
21  3  [7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7]
22  7  [9, 6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31]
23  2  [23, 76, 23, 76, 23, 76, 23, 76, 23, 76, 23, 76, 23, 76, 23, 76, 23, 76, 23]
24  7  [58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9]
25  3  [7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7]
26  7  [5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14]
27  7  [58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9]
28  3  [60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60]
29  7  [31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9, 6]
30  3  [7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7, 60, 12, 7]
31  7  [6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84, 14, 9, 6, 5, 58, 31, 84]
