1  1  [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2  5  [6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24]
3  5  [24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5]
4  1  [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
5  5  [24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5]
6  5  [170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6]
7  5  [5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9]
8  5  [5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9]
9  5  [5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9]
10  5  [6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24]
11  5  [170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6]
12  5  [6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24]
13  5  [170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6]
14  5  [6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24]
15  5  [6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24]
16  5  [6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24]
17  5  [9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170]
18  5  [6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24]
19  5  [9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170]
20  5  [6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24]
21  5  [9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170]
22  5  [5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9]
23  5  [170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6]
24  5  [6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24]
25  5  [9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170]
26  5  [9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170, 24, 9, 6, 5, 170]
