1,1,0,[1]
2,18,20,[7, 423, 53, 469, 74, 39, 16, 8, 6, 5, 421, 837, 40, 11, 427, 68, 21, 10]
3,18,29,[6, 5, 421, 837, 40, 11, 427, 68, 21, 10, 7, 423, 53, 469, 74, 39, 16, 8]
4,1,0,[4]
5,18,17,[421, 837, 40, 11, 427, 68, 21, 10, 7, 423, 53, 469, 74, 39, 16, 8, 6, 5]
6,18,17,[5, 421, 837, 40, 11, 427, 68, 21, 10, 7, 423, 53, 469, 74, 39, 16, 8, 6]
7,18,17,[423, 53, 469, 74, 39, 16, 8, 6, 5, 421, 837, 40, 11, 427, 68, 21, 10, 7]
8,18,17,[6, 5, 421, 837, 40, 11, 427, 68, 21, 10, 7, 423, 53, 469, 74, 39, 16, 8]
9,18,18,[5, 421, 837, 40, 11, 427, 68, 21, 10, 7, 423, 53, 469, 74, 39, 16, 8, 6]
10,18,17,[7, 423, 53, 469, 74, 39, 16, 8, 6, 5, 421, 837, 40, 11, 427, 68, 21, 10]
11,18,17,[427, 68, 21, 10, 7, 423, 53, 469, 74, 39, 16, 8, 6, 5, 421, 837, 40, 11]
12,18,18,[423, 53, 469, 74, 39, 16, 8, 6, 5, 421, 837, 40, 11, 427, 68, 21, 10, 7]
13,18,21,[5, 421, 837, 40, 11, 427, 68, 21, 10, 7, 423, 53, 469, 74, 39, 16, 8, 6]
14,18,19,[5, 421, 837, 40, 11, 427, 68, 21, 10, 7, 423, 53, 469, 74, 39, 16, 8, 6]
15,18,18,[6, 5, 421, 837, 40, 11, 427, 68, 21, 10, 7, 423, 53, 469, 74, 39, 16, 8]
16,18,17,[8, 6, 5, 421, 837, 40, 11, 427, 68, 21, 10, 7, 423, 53, 469, 74, 39, 16]
17,18,23,[6, 5, 421, 837, 40, 11, 427, 68, 21, 10, 7, 423, 53, 469, 74, 39, 16, 8]
18,18,18,[6, 5, 421, 837, 40, 11, 427, 68, 21, 10, 7, 423, 53, 469, 74, 39, 16, 8]
19,18,24,[5, 421, 837, 40, 11, 427, 68, 21, 10, 7, 423, 53, 469, 74, 39, 16, 8, 6]
20,18,19,[5, 421, 837, 40, 11, 427, 68, 21, 10, 7, 423, 53, 469, 74, 39, 16, 8, 6]
21,18,17,[10, 7, 423, 53, 469, 74, 39, 16, 8, 6, 5, 421, 837, 40, 11, 427, 68, 21]
22,18,22,[5, 421, 837, 40, 11, 427, 68, 21, 10, 7, 423, 53, 469, 74, 39, 16, 8, 6]
23,18,21,[7, 423, 53, 469, 74, 39, 16, 8, 6, 5, 421, 837, 40, 11, 427, 68, 21, 10]
24,18,19,[5, 421, 837, 40, 11, 427, 68, 21, 10, 7, 423, 53, 469, 74, 39, 16, 8, 6]
25,18,18,[7, 423, 53, 469, 74, 39, 16, 8, 6, 5, 421, 837, 40, 11, 427, 68, 21, 10]
