1  1  [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2  13  [113, 221, 30, 10, 7, 115, 28, 11, 119, 24, 9, 6, 5, 113, 221, 30, 10, 7, 115]
3  13  [9, 6, 5, 113, 221, 30, 10, 7, 115, 28, 11, 119, 24, 9, 6, 5, 113, 221, 30]
4  1  [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
5  13  [115, 28, 11, 119, 24, 9, 6, 5, 113, 221, 30, 10, 7, 115, 28, 11, 119, 24, 9]
6  13  [7, 115, 28, 11, 119, 24, 9, 6, 5, 113, 221, 30, 10, 7, 115, 28, 11, 119, 24]
7  13  [9, 6, 5, 113, 221, 30, 10, 7, 115, 28, 11, 119, 24, 9, 6, 5, 113, 221, 30]
8  13  [10, 7, 115, 28, 11, 119, 24, 9, 6, 5, 113, 221, 30, 10, 7, 115, 28, 11, 119]
9  13  [10, 7, 115, 28, 11, 119, 24, 9, 6, 5, 113, 221, 30, 10, 7, 115, 28, 11, 119]
10  13  [24, 9, 6, 5, 113, 221, 30, 10, 7, 115, 28, 11, 119, 24, 9, 6, 5, 113, 221]
11  13  [113, 221, 30, 10, 7, 115, 28, 11, 119, 24, 9, 6, 5, 113, 221, 30, 10, 7, 115]
12  13  [24, 9, 6, 5, 113, 221, 30, 10, 7, 115, 28, 11, 119, 24, 9, 6, 5, 113, 221]
13  3  [22, 13, 121, 22, 13, 121, 22, 13, 121, 22, 13, 121, 22, 13, 121, 22, 13, 121, 22]
14  13  [30, 10, 7, 115, 28, 11, 119, 24, 9, 6, 5, 113, 221, 30, 10, 7, 115, 28, 11]
15  13  [30, 10, 7, 115, 28, 11, 119, 24, 9, 6, 5, 113, 221, 30, 10, 7, 115, 28, 11]
16  13  [30, 10, 7, 115, 28, 11, 119, 24, 9, 6, 5, 113, 221, 30, 10, 7, 115, 28, 11]
17  13  [113, 221, 30, 10, 7, 115, 28, 11, 119, 24, 9, 6, 5, 113, 221, 30, 10, 7, 115]
18  13  [30, 10, 7, 115, 28, 11, 119, 24, 9, 6, 5, 113, 221, 30, 10, 7, 115, 28, 11]
19  13  [24, 9, 6, 5, 113, 221, 30, 10, 7, 115, 28, 11, 119, 24, 9, 6, 5, 113, 221]
20  13  [30, 10, 7, 115, 28, 11, 119, 24, 9, 6, 5, 113, 221, 30, 10, 7, 115, 28, 11]
21  13  [119, 24, 9, 6, 5, 113, 221, 30, 10, 7, 115, 28, 11, 119, 24, 9, 6, 5, 113]
22  3  [121, 22, 13, 121, 22, 13, 121, 22, 13, 121, 22, 13, 121, 22, 13, 121, 22, 13, 121]
23  13  [10, 7, 115, 28, 11, 119, 24, 9, 6, 5, 113, 221, 30, 10, 7, 115, 28, 11, 119]
24  13  [30, 10, 7, 115, 28, 11, 119, 24, 9, 6, 5, 113, 221, 30, 10, 7, 115, 28, 11]
25  13  [119, 24, 9, 6, 5, 113, 221, 30, 10, 7, 115, 28, 11, 119, 24, 9, 6, 5, 113]
