1   1  {2: 100}
2   1  {4: 100}
3   2  {2: 25, 3: 75}
4   1  {3: 100}
5   1  {2: 100}
6   1  {5: 100}
7   1  {6: 100}
8   1  {8: 100}
9   2  {2: 13, 4: 87}
10   1  {4: 100}
11   1  {4: 100}
12   1  {9: 100}
13   1  {4: 100}
14   2  {3: 39, 6: 61}
15   2  {2: 5, 4: 95}
16   1  {9: 100}
17   2  {9: 86, 2: 14}
18   2  {8: 77, 3: 23}
19   1  {4: 100}
20   1  {7: 100}
21   1  {5: 100}
22   1  {4: 100}
23   1  {3: 100}
24   2  {5: 15, 7: 85}
25   1  {3: 100}
26   1  {9: 100}
27   2  {2: 2, 6: 98}
28   2  {3: 25, 5: 75}
29   2  {2: 51, 3: 49}
30   1  {16: 100}
31   1  {4: 100}
32   2  {5: 27, 7: 73}
33   1  {11: 100}
34   3  {2: 7, 5: 48, 7: 45}
35   2  {2: 5, 3: 95}
36   1  {6: 100}
37   2  {8: 88, 2: 12}
38   1  {11: 100}
39   3  {2: 2, 4: 45, 5: 53}
40   3  {10: 25, 5: 24, 7: 51}
41   1  {9: 100}
42   2  {13: 94, 5: 6}
43   2  {2: 76, 3: 24}
44   2  {3: 21, 5: 79}
45   1  {11: 100}
46   1  {5: 100}
47   1  {14: 100}
48   1  {19: 100}
49   1  {13: 100}
50   3  {2: 37, 4: 8, 5: 55}
51   1  {15: 100}
52   1  {8: 100}
53   3  {2: 3, 3: 31, 7: 66}
54   2  {16: 85, 4: 15}
55   1  {9: 100}
56   1  {11: 100}
57   3  {2: 1, 3: 29, 6: 70}
58   1  {13: 100}
59   1  {8: 100}
60   2  {5: 62, 14: 38}
61   2  {4: 28, 5: 72}
62   2  {2: 15, 12: 85}
63   1  {9: 100}
64   1  {6: 100}
65   2  {3: 20, 5: 80}
66   1  {7: 100}
67   2  {9: 84, 2: 16}
68   1  {5: 100}
69   2  {2: 1, 6: 99}
70   1  {10: 100}
71   2  {8: 96, 2: 4}
72   3  {3: 11, 5: 49, 7: 40}
73   1  {5: 100}
74   1  {3: 100}
75   2  {9: 92, 3: 8}
76   1  {15: 100}
77   2  {2: 19, 7: 81}
78   1  {13: 100}
79   1  {5: 100}
80   2  {16: 73, 4: 27}
81   1  {8: 100}
82   2  {2: 4, 5: 96}
83   2  {2: 37, 7: 63}
84   1  {12: 100}
85   2  {2: 5, 7: 95}
86   1  {5: 100}
87   1  {5: 100}
88   1  {13: 100}
89   2  {3: 35, 6: 65}
90   2  {11: 57, 5: 43}
91   1  {9: 100}
92   1  {6: 100}
93   1  {5: 100}
94   2  {10: 73, 5: 27}
95   2  {2: 33, 5: 67}
96   1  {6: 100}
97   1  {8: 100}
98   2  {2: 6, 7: 94}
99   2  {9: 99, 2: 1}
100   3  {8: 27, 3: 7, 5: 66}
101   1  {6: 100}
102   2  {16: 76, 4: 24}
103   1  {8: 100}
104   2  {8: 65, 3: 35}
105   2  {5: 80, 6: 20}
106   2  {9: 29, 10: 71}
107   2  {2: 1, 5: 99}
108   2  {3: 11, 13: 89}
109   2  {3: 14, 5: 86}
110   2  {12: 71, 7: 29}
111   2  {8: 45, 6: 55}
112   1  {8: 100}
113   2  {10: 98, 2: 2}
114   1  {5: 100}
115   1  {5: 100}
116   1  {14: 100}
117   2  {8: 78, 4: 22}
118   1  {6: 100}
119   1  {9: 100}
120   1  {5: 100}
121   1  {5: 100}
122   2  {11: 58, 5: 42}
123   1  {5: 100}
124   1  {5: 100}
125   3  {2: 1, 11: 22, 5: 77}
126   2  {10: 95, 3: 5}
127   2  {3: 8, 5: 92}
128   2  {5: 12, 6: 88}
129   2  {6: 44, 7: 56}
130   2  {2: 7, 5: 93}
131   1  {7: 100}
132   1  {11: 100}
133   2  {8: 87, 3: 13}
134   2  {10: 76, 4: 24}
135   2  {5: 71, 6: 29}
136   1  {9: 100}
137   1  {9: 100}
138   3  {8: 50, 4: 10, 5: 40}
139   2  {5: 58, 7: 42}
140   1  {9: 100}
141   1  {8: 100}
142   1  {16: 100}
143   1  {12: 100}
144   1  {5: 100}
145   2  {4: 36, 5: 64}
146   3  {2: 13, 3: 11, 6: 76}
147   1  {9: 100}
148   1  {4: 100}
149   1  {5: 100}
150   1  {11: 100}
151   2  {4: 23, 5: 77}
152   2  {8: 54, 9: 46}
153   3  {9: 76, 3: 8, 4: 16}
154   2  {10: 68, 4: 32}
155   3  {2: 1, 3: 6, 5: 93}
156   1  {9: 100}
157   2  {2: 12, 5: 88}
158   2  {2: 4, 7: 96}
159   1  {8: 100}
160   1  {10: 100}
161   1  {12: 100}
162   1  {15: 100}
163   1  {5: 100}
164   2  {4: 46, 6: 54}
165   1  {5: 100}
166   1  {12: 100}
167   1  {7: 100}
168   2  {5: 1, 6: 99}
169   2  {9: 86, 3: 14}
170   1  {19: 100}
171   1  {8: 100}
172   2  {8: 55, 7: 45}
173   1  {6: 100}
174   1  {9: 100}
175   1  {5: 100}
176   3  {3: 8, 4: 37, 6: 55}
177   2  {9: 94, 3: 6}
178   2  {2: 1, 4: 99}
179   2  {2: 4, 4: 96}
180   1  {8: 100}
181   1  {10: 100}
182   1  {9: 100}
183   1  {6: 100}
184   1  {5: 100}
185   1  {6: 100}
186   1  {9: 100}
187   1  {5: 100}
188   2  {4: 40, 7: 60}
189   1  {9: 100}
190   1  {11: 100}
191   2  {8: 46, 5: 54}
192   1  {8: 100}
193   2  {2: 8, 12: 92}
194   2  {9: 93, 3: 7}
195   2  {5: 58, 15: 42}
196   3  {3: 2, 4: 34, 6: 64}
197   2  {2: 1, 15: 99}
198   1  {5: 100}
199   2  {4: 13, 5: 87}
200   2  {9: 10, 13: 90}
1   1  {2: 100}
2   1  {4: 100}
3   2  {2: 25, 3: 75}
4   1  {3: 100}
5   1  {2: 100}
6   1  {5: 100}
7   1  {6: 100}
8   1  {8: 100}
9   2  {2: 13, 4: 87}
10   1  {4: 100}
11   1  {4: 100}
12   1  {9: 100}
13   1  {4: 100}
14   2  {3: 39, 6: 61}
15   2  {2: 5, 4: 95}
16   1  {9: 100}
17   2  {9: 86, 2: 14}
18   2  {8: 77, 3: 23}
19   1  {4: 100}
20   1  {7: 100}
21   1  {5: 100}
22   1  {4: 100}
23   1  {3: 100}
24   2  {5: 15, 7: 85}
