1  {2: 500}
2  {4: 500}
3  {2: 124, 3: 376}
4  {3: 500}
5  {2: 500}
6  {5: 500}
7  {6: 500}
8  {8: 500}
9  {2: 45, 4: 455}
10  {4: 500}
11  {4: 500}
12  {9: 500}
13  {4: 500}
14  {3: 200, 6: 300}
15  {2: 30, 4: 470}
16  {9: 500}
17  {9: 426, 2: 74}
18  {8: 346, 3: 154}
19  {4: 500}
20  {7: 500}
21  {5: 500}
22  {4: 500}
23  {3: 500}
24  {5: 49, 7: 451}
25  {3: 500}
26  {9: 500}
27  {2: 8, 6: 492}
28  {3: 133, 5: 367}
29  {2: 269, 3: 231}
30  {16: 500}
31  {4: 500}
32  {5: 97, 7: 403}
33  {11: 500}
34  {2: 40, 5: 242, 7: 218}
35  {2: 33, 3: 467}
36  {6: 500}
37  {8: 423, 2: 77}
38  {11: 500}
39  {2: 6, 4: 231, 5: 263}
40  {10: 125, 5: 113, 7: 262}
41  {9: 500}
42  {13: 470, 5: 30}
43  {2: 353, 3: 147}
44  {3: 84, 5: 416}
45  {11: 500}
46  {5: 500}
47  {14: 500}
48  {19: 500}
49  {13: 500}
50  {2: 174, 4: 42, 5: 284}
